what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1454346476778
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1454346476778
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1454346476779
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1454346476779
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1454346476779
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1454346476780
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1454346476780
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1454346476780
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1454346476781
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1454346476781
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1454346476782
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1454346476782
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1454346476782
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1454346476783
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1454346476784
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1454346476785
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1454346476785
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1454346476785
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1454346476785
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1454346476787
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1454346476787
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1454346476787
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1454346476788
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1454346476788
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1454346476788
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1454346476789
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1454346476790
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1454346476790
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454346476790
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1454346476790
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1454346476791
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1454346476791
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1454346476792
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1454346476792
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1454346476792
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1454346476792
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1454346476793
os,sysinfo,,,"linux",1454346476795
arch,sysinfo,,,"x86",1454346476795
ws,sysinfo,,,"gtk",1454346476795
locale,sysinfo,,,"en_US",1454346476795
processors,sysinfo,,,"3",1454346476795
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454346476795
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1454346476795
java.specification.name,sysinfo,,,"Java Platform API Specification",1454346476795
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454346476795
java.specification.version,sysinfo,,,"1.6",1454346476795
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1454346476795
java.version,sysinfo,,,"1.6.0_23",1454346476795
java.vm.info,sysinfo,,,"mixed mode",1454346476795
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1454346476795
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454346476795
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454346476795
java.vm.specification.version,sysinfo,,,"1.0",1454346476795
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454346476795
java.vm.version,sysinfo,,,"19.0-b09",1454346476795
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454346477877
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454346477913
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454346477914
