what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1454704146448
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1454704146450
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1454704146451
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1454704146454
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1454704146456
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1454704146456
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1454704146457
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1454704146457
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1454704146458
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1454704146458
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1454704146459
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1454704146460
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1454704146460
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1454704146461
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1454704146462
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1454704146462
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1454704146462
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1454704146463
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1454704146463
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1454704146463
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1454704146464
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1454704146464
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1454704146465
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454704146465
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1454704146466
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1454704146467
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1454704146468
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1454704146468
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1454704146468
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1454704146469
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1454704146469
os,sysinfo,,,"linux",1454704146471
arch,sysinfo,,,"x86",1454704146471
ws,sysinfo,,,"gtk",1454704146471
locale,sysinfo,,,"en_US",1454704146471
processors,sysinfo,,,"3",1454704146471
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454704146471
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1454704146471
java.specification.name,sysinfo,,,"Java Platform API Specification",1454704146471
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454704146471
java.specification.version,sysinfo,,,"1.6",1454704146471
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1454704146471
java.version,sysinfo,,,"1.6.0_23",1454704146471
java.vm.info,sysinfo,,,"mixed mode",1454704146471
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1454704146471
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454704146471
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454704146471
java.vm.specification.version,sysinfo,,,"1.0",1454704146471
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454704146471
java.vm.version,sysinfo,,,"19.0-b09",1454704146471
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1454704147249
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704147271
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704147272
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704147278
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704147278
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1454704150241
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704150260
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704150263
