what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454025481812
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454025482606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025482662
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454025483497
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454025488073
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454025497627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025518463
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454025520869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025521264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025522035
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025525984
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454025526333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025526677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025528462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025528493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025529215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025533592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025537827
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025606947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025615855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025716672
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025731604
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025807085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454025831994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454025837178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026292447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026296712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026311682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454026314921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026318696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026353023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454026361652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026374650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026376522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026410620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026411866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026414723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026416947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026437878
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026438756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026439747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026444864
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026444917
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454026445925
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454026449244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454026452699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026455862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026460145
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454026463705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026464051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026468020
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026468580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026476661
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454026477033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026477484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026477930
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026486259
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026497902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026500931
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454026502209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026502578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026504194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026504217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026504953
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454026508232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026511084
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454026511764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026511789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026511863
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026512945
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454026513327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026513403
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454026514248
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026518838
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026526489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026538731
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454026545594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026545971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026546816
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454026556571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026559319
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454026560067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026560093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026560154
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026560751
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454026561540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026561578
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454026562431
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026567020
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026572449
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026580152
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454026581085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026581972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026590942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026594437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026604918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026606553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026608142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026615330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454026624403
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454026625043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026625448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026626394
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454026627067
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1454026629232
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454026632484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026634297
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454026634943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026634969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026635042
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454026635635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454026636400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454026636433
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454026637289
